Status,Date,Description,Debit,Credit
Cleared,06/07/2023,"DUNKIN #330415 Q35 LONG ISLAND C NY",4.56,
Cleared,06/05/2023,"LOT LESS 15 ASTORIA NY",31.14,
Cleared,06/04/2023,"TST* TAN LUM - NYC NEW YORK NY",133.14,
Cleared,06/03/2023,"TST* Bel Aire Diner Astoria NY",18.10,
Cleared,06/03/2023,"RITE AID 10568 LONG ISLAND C NY",11.75,
Cleared,06/03/2023,"LOTTE NEW YORK PALACE NEW YORK NY",64.42,
Cleared,05/30/2023,"LEES FAMILY FARM CORP ASTORIA NY",10.90,
Cleared,05/29/2023,"GRUBHUBSUNRISE2AUTHEN 8775851085 NY null XXXXXXXXXXXX7934",81.00,
Cleared,05/27/2023,"TST* Suraya Philadelphia PA",228.55,
Cleared,05/27/2023,"SQ *FISHTOWN JEWELERS Philadelphia PA",1375.00,
Cleared,05/27/2023,"CURB PHILLY TAXI QUEENS NY",19.50,
Cleared,05/27/2023,"SQ *SPRUCE STREET HARB Philadelphia PA",11.00,
Cleared,05/27/2023,"GIANT FOOD #6569 PHILADELPHIA PA",10.00,
Cleared,05/27/2023,"TST* VITE VINOSTERIA ASTORIA NY",84.07,
Cleared,05/26/2023,"CVS/PHARMACY #03146 ASTORIA NY",7.93,
Cleared,05/24/2023,"J.L. CLEANERS ASTORIA NY",20.28,
Cleared,05/24/2023,"KEY FOOD 1620 LNG ISLND CTY NY",37.78,
Cleared,05/23/2023,"AUTOPAY 230429124438632RAUTOPAY AUTO-PMT",,-95.00
Cleared,05/22/2023,"FOOD EMPORIUM #2220 ASTORIA NY",9.59,
Cleared,05/22/2023,"IKRAVEIT FOODS MARKET ASTORIA NY",11.36,
Cleared,05/21/2023,"TST* Murray Hill - HIT New York NY",49.61,
Cleared,05/20/2023,"FOOD EMPORIUM #2220 ASTORIA NY",70.86,
Cleared,05/19/2023,"DOLLAR TREE ASTORIA NY",17.14,
Cleared,05/09/2023,"SQ *FISHTOWN JEWELERS Philadelphia PA",1375.00,
Cleared,05/09/2023,"AMTRAK .1290745073268 WASHINGTON DCNAME: VAZQUEZ/PABLO DEPART:05/27/2023 NYP TO PHL: 2V: CLASS:YC : STOP: ",192.00,
Cleared,04/27/2023,"MEMBERSHIP FEE APR 23-MAR 24",95.00,
